@relation 'position-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C1-L4,6'

@attribute class {rest,index,pinch_1,pinch_3,fist,spread}
@attribute A_mean numeric
@attribute A_median numeric
@attribute A_variance numeric
@attribute B_mean numeric
@attribute B_median numeric
@attribute B_variance numeric
@attribute C_mean numeric
@attribute C_median numeric
@attribute C_variance numeric
@attribute D_mean numeric
@attribute D_median numeric
@attribute D_variance numeric
@attribute E_mean numeric
@attribute E_median numeric
@attribute E_variance numeric
@attribute F_mean numeric
@attribute F_median numeric
@attribute F_variance numeric
@attribute G_mean numeric
@attribute G_median numeric
@attribute G_variance numeric
@attribute H_mean numeric
@attribute H_median numeric
@attribute H_variance numeric

@data
fist,-3.3,-1,351.41,-2.7,-1,91.21,-2.7,-2,210.61,-6.9,-6,1373.49,0.7,12,2802.01,-6.5,-20,3883.05,-15.3,-19,1217.41,-6.5,-7,4133.45
fist,-3.4,-6,219.24,-2.3,-5,41.21,-2.6,3,114.84,0.2,-1,380.56,-4.8,-2,1082.56,-21.2,-14,6936.16,-4.3,-15,4880.41,-19.7,-3,1298.21
fist,-0.1,-9,592.49,0.2,2,260.96,-1.1,0,427.49,-2.2,-13,2879.36,-0.3,25,1402.01,-32.8,-11,6553.16,-8.5,-12,2187.25,-34.6,-53,2359.84
fist,2.7,4,192.41,0.2,1,84.96,-1.3,0,85.41,-6.2,-6,518.76,-3.6,-1,405.44,-1.7,-5,843.21,-1.5,-2,1153.45,7.4,10,1389.44
fist,-4.4,-3,97.04,-3.6,-2,45.24,-0.7,3,94.41,3.7,4,480.01,-3.4,6,322.64,-8.5,4,858.25,-7.3,-3,540.61,-2.9,-5,474.69
fist,-3.9,-2,953.89,-2,-3,11,-1.8,-2,12.56,-3.1,-2,30.89,-3.8,-6,272.96,-0.9,-4,968.49,-3.3,10,910.81,3.5,-5,770.65
fist,-0.2,3,149.36,-0.6,0,3.64,-1.7,-1,11.21,-2.9,-1,83.89,2.8,5,129.36,1.2,3,351.36,1.3,4,205.61,1.7,1,448.61
fist,-1.5,-2,86.45,-1.8,-1,4.16,-0.6,0,10.04,1.7,1,82.41,-0.5,-6,460.65,-2.5,-3,265.65,-3.5,2,167.05,-2.9,-1,77.89
fist,1,-2,86.2,0.3,0,26.61,-0.4,0,23.64,-0.6,1,49.84,1.6,6,400.04,12.8,13,2092.76,-0.7,0,2039.41,0.6,-1,1786.04
fist,-2.6,-3,18.84,-1.1,-1,7.69,-0.8,-1,9.76,-1.4,-2,39.44,0.6,-1,102.04,1.7,3,349.61,4.5,14,277.65,-1.1,-1,123.89
